path,bytes,sha256,note
results/gwtc1_phasemarg/GW15_PhaseMarg_Heterodyned_IMRPhenomD_local_psd-gwtc2p1_ref-gwtc1.csv,34580968,7b5cf27159b02b4f15c709f79754fc11343e371b7aafb7f0b3a21a676a47337b,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_baseline.csv,68637805,92104da76d88fae9939759ade93b09f7458d2e97ff4479c2ac638f94a757f01a,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_flatZ.csv,69673795,a95a2db3d43f9e7eacfa737e8d9567b1df524759b9c3c48ae4d11b6f4fc77732,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_reweighted_flatZ.csv,62220401,044aff8d7b022040fc5a373d257a01a4dd8b188e3cf3a2f729177ef0bc13dcfd,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_vp250.csv,68652261,a17850dfc004e04832ae684d826945c7c1b725a9a609ae335ca1de9f4fce42e1,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_baseline.csv,69241376,8ec7808ee17098c08ebab7aba6f8ec2e9edb96008edc5376481784e2ec2cff44,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_flatZ.csv,69234566,2044e7185a8fbeac42e6695cbf14f296af9ba8156eac02ed679d63ee01a1670a,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_reweighted_flatZ.csv,62750299,9b79dc8eecef50e04c1ec2995c7c9e4de10d0da53d82dead46f2df72f92497fd,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_vp250.csv,67717340,e34f9585ffb662fc8b382ad54d7c744bea8749e0c1e640554f4de0495833b102,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1.csv,15627858,d5436f12e163048e78168de547975b2652bc0f33867c4fb5cde0616ee755dc1f,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_full_sky.csv,17943963,f85babdb3300123cabf8d942acd5cd54f9834ef32f23a0c99b6670ac00a65d28,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_small_h0_prior.csv,14660029,f0470843b04638a3a1511a4cd80e743d6acc51522cd06d3d0316ecf80cf315b4,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_TaylorF2_local_psd-gwtc1.csv,16410796,1d09dee159a753615d2b21ed8022c1080670b7c1c152c11d68b534665c140eb8,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_TaylorF2_local_psd-gwtc1_full_sky.csv,17967969,524ac0aa8d66bc28dad726753f277219470d72d3d7aa0870a6549ff67c825588,host-localised prior-variant chain
results/gwtc1_phasemarg/PhaseMarg_Unheterodyned_TaylorF2_local_psd-gwtc1_small_h0_prior.csv,14176030,766c2cd34a396b4de99dc3b98e726f94f122241274176c276f00e103be79d716,host-localised prior-variant chain
results/scaling_study/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_baseline.csv,1207987882,a6437e11c734def73333ee9e2f6e5d860c83fb035a8d3fe52aa249154388ffea,scaling-study chain
results/scaling_study/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_nlive2500.csv,27327030,bfdac879569b69079d3167d181f5d07f51a67fb27707dd7dad20640036c14db0,scaling-study chain
results/test_suite/s04__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive02500__seed0000/samples.csv,27327030,bfdac879569b69079d3167d181f5d07f51a67fb27707dd7dad20640036c14db0,per-run nested-sampling chain
results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__baseline__refOptimize__seed0000/samples.csv,62530657,2faba1f5b734072c78b19a36bd6c92f11694e69ca2433bbccc8f8cf699fdbad9,per-run nested-sampling chain
results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive00500__seed0000/samples.csv,5957801,bc693a9c5ff3826f3dc1a1b4eb049f233fe8cb82bfefbc0b36d7440391a23fd1,per-run nested-sampling chain
results/test_suite/s05__gw170817__taylorf2__baseline__psdBilby__seed0000/samples.csv,60077917,f671fb26a706b616808048e00d540ba9fa35cc0209516f788623ee89cafe21a6,per-run nested-sampling chain
results/test_suite/s05__gw170817__taylorf2__baseline__psdKazewong__seed0000/samples.csv,60035824,f30f0839c9f9ad76b3441fdb1411cb19d3703a069bbdc771e6afb97c4e58e854,per-run nested-sampling chain
results/test_suite/s06__gw150914__imrphenomxphm__lvkbounds__seed0000/samples.csv,45105200,3f662b236f0f93f5f661b706dc16f115a0281a422944bc30a8b35900c1f34595,per-run nested-sampling chain
results/test_suite/s07__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds__seed0000/samples.csv,54857128,3afd4a500c213950827b2b8ea70c42003ee126f87c8d35a86c15bb3093651081,per-run nested-sampling chain
results/test_suite/s07__gw170817__imrphenompv2__baseline_lvkbounds__seed0000/samples.csv,57458510,5610caa9b3c770c110e850e0db0f143b3fe5e024d87c029ca2c0e760e1a1cf9a,per-run nested-sampling chain
results/test_suite/s07__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds__seed0000/samples.csv,54905936,0d0fe738b980863cbc45bcbaa0b4803a7da3ec4884c980e3680cfc8228756e25,per-run nested-sampling chain
results/test_suite/s07__gw170817__taylorf2__baseline_lvkbounds__seed0000/samples.csv,55817999,9696d689df81fdfafa730effb558670551bf5f6e1eaec0fb302d3935561aec03,per-run nested-sampling chain
results/test_suite/s08__gw170817__imrphenomd_nrtidalv2__baseline__ndelete00500__seed0000/samples.csv,77636829,4863682a87f17e030ac7d320bd3a1b04ff519515f3ce85d160b7d7c3713be57c,per-run nested-sampling chain
results/test_suite/s08__gw170817__imrphenomd_nrtidalv2__baseline__ndelete01250__seed0000/samples.csv,71437343,e749e5decd72e08d9da4049a2661c1a19a3cf0df93891ede2f83448d081e3e3d,per-run nested-sampling chain
results/test_suite/s08__gw170817__imrphenomd_nrtidalv2__baseline__ndelete02500__seed0000/samples.csv,59968903,7bddcb54de8b0bd84f0861d5727bbfde214bb7793c119a358cadf8d822162e9a,per-run nested-sampling chain
results/test_suite/s08__gw170817__imrphenomd_nrtidalv2__baseline__ndelete03750__seed0000/samples.csv,45989990,5d59866bd75c797b6753e010c21c91dc453f1bdd17749749d3451ca6858793f0,per-run nested-sampling chain
results/test_suite/s09__gw170817__imrphenomd_nrtidalv2__baseline__nbins00251__seed0000/samples.csv,59116186,b416826ea66397be6dd894d08d6ed12f25293691f6e8437d04e66e88c3e8650f,per-run nested-sampling chain
results/test_suite/s09__gw170817__imrphenomd_nrtidalv2__baseline__nbins00501__seed0000/samples.csv,59968903,7bddcb54de8b0bd84f0861d5727bbfde214bb7793c119a358cadf8d822162e9a,per-run nested-sampling chain
results/test_suite/s09__gw170817__imrphenomd_nrtidalv2__baseline__nbins01001__seed0000/samples.csv,59971856,91630633157518b0d3382b1cbfb24905862258f6d5b4b7b29dd447368bf0ad73,per-run nested-sampling chain
results/test_suite/s10__gw170817__imrphenomd_nrtidalv2__flatz__dL10-30__refGWTC1__seed0000/samples.csv,69733629,8bd3844a8bcc72f135af4035a8b84121712837c1bbc5f2336c1675078e4d148f,per-run nested-sampling chain
results/test_suite/s10__gw170817__imrphenomd_nrtidalv2__flatz__dL10-75__refModeB__seed0000/samples.csv,69670102,7912dd7bd55b7b183911457a58df666473a12a1f372fd2506b8a2a3d9a0176df,per-run nested-sampling chain
results/test_suite/s10__gw170817__imrphenomd_nrtidalv2__flatz__dL30-75__refGWTC1__seed0000/samples.csv,67587727,3f016d559a6bd8689ff32bfdc26378b98250b0034119829bcbafb2b3c2407f03,per-run nested-sampling chain
results/test_suite/s12__gw170817__imrphenomd_nrtidalv2__gw_only__seed0000/samples.csv,48226753,91d6f1d0fdc2bb5db164157e307f1de2c4925592f8362910e1a9b63dd044937e,per-run nested-sampling chain
results/test_suite/s12__gw170817__imrphenomxas_nrtidalv3__gw_only__seed0000/samples.csv,49018300,8e880b1f0e8c35e34248e4d92eb2d890d02df466242ba946970ad1dfdef2da5e,per-run nested-sampling chain
results/test_suite/s13__gw170817__imrphenomd_nrtidalv2__baseline__nlive00500__seed0000/samples.csv,5453981,b29f69660f9ef33b42dae30ae8b10ae5b513a25cf1ebc892bd26af1a2e65eb1f,per-run nested-sampling chain
results/test_suite/s13__gw170817__imrphenomd_nrtidalv2__baseline__nlive01000__seed0000/samples.csv,11085327,8e1bf5dc286fc5dbfff27f399c2af2278869ff692b3c3d093ae227c2cc73cbae,per-run nested-sampling chain
results/test_suite/s13__gw170817__imrphenomd_nrtidalv2__baseline__nlive02500__seed0000/samples.csv,27389819,8ce82b856125ba34e9f42c9253fec995c583bce25b600b56f075f1a0ee4e329f,per-run nested-sampling chain
results/test_suite/s14__gw170817__imrphenomxas_nrtidalv3__baseline__seed0000/samples.csv,59998654,8d75c86350781315f5865691cdb0e7d8b6dac64e451faf8d4982b1cd68398388,per-run nested-sampling chain
results/test_suite/s14__gw170817__imrphenomxas_nrtidalv3__flatz__seed0000/samples.csv,68167979,ec6e2ed4e554da4057d4547551968793602f5d437ab95ffab4b3e1c7e493756f,per-run nested-sampling chain
results/test_suite/s14__gw170817__imrphenomxas_nrtidalv3__reweighted_flatz__seed0000/samples.csv,54471416,b6e263d73d8e816d02a0c329498c217ffec79d35a01ab5f973fa8a2f804d7857,per-run nested-sampling chain
results/test_suite/s14__gw170817__imrphenomxas_nrtidalv3__vp250__seed0000/samples.csv,69731056,847dfa47746b6e06615812e19c5b7f1afa80a4ed0cab76a77bc82935073ecd16,per-run nested-sampling chain
results/test_suite/s15__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds_narrow__seed0000/samples.csv,47280897,c835099afe4f87000bd1e4917b61c5787a49011f63011717244fea79c2d3a4f3,per-run nested-sampling chain
results/test_suite/s15__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds_narrow__seed0000/samples.csv,47296573,b518de254c78996bcc2408889fce18a69d1617cf554f60ba85b4d9b192484004,per-run nested-sampling chain
results/test_suite/s17a__gw150914__imrphenomxphm__nlive8000_mcmc160__seed0000/samples.csv,73063791,9e250bf76f7a22fa7daba97d096e26ebde5a0cdf24042680cbe0bf90093c96ec,per-run nested-sampling chain
results/test_suite/s18__gw170817__imrphenomd_nrtidalv2__flatz__dL10-30__refGWTC1__seed0001/samples.csv,69212744,76565f52fa33c51cd378469638b4ecba10943226d40122c2c0f2134ea64c3613,per-run nested-sampling chain
results/test_suite/s18__gw170817__imrphenomd_nrtidalv2__flatz__dL10-75__refModeB__seed0001/samples.csv,68143660,a327324ef404b396da1448606701dc37d68366c5695da8de4db3e7669b3a8bd5,per-run nested-sampling chain
results/test_suite/s18__gw170817__imrphenomd_nrtidalv2__flatz__dL30-75__refGWTC1__seed0001/samples.csv,67582989,a9773635bc0d0b04adb012ab00c7920bfa14c7dc51e5daffa6353e11da04818d,per-run nested-sampling chain
results/test_suite/s18__gw170817__imrphenomxas_nrtidalv3__baseline__vpmean215__seed0000/samples.csv,60041085,830a84e911fb6d49f541ca3167c563b933015a61d4508a879a80497fdc7cf3da,per-run nested-sampling chain
results/test_suite/s18__gw170817__imrphenomxas_nrtidalv3__baseline__vpmean310__seed0000/samples.csv,59998654,8d75c86350781315f5865691cdb0e7d8b6dac64e451faf8d4982b1cd68398388,per-run nested-sampling chain
results/test_suite/s18__gw170817__imrphenomxas_nrtidalv3__baseline__vpmean405__seed0000/samples.csv,60011465,2cbb4f1eae1ede44660dfe2b32d0dd41ee34b364a7b8f981cda61918c7fc0b3d,per-run nested-sampling chain
results/test_suite/s19__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds_fixedsky__seed0000/samples.csv,44730861,ba487db22555588c9b4a75426e411eafeefe7f8467b6d217ed4937930c7229a5,per-run nested-sampling chain
