Run,log Z,log Z err,D_KL (nats),N_dead,N_eff
GW15_Het IMRPhenomD_local_psd-gwtc2p1_ref-gwtc1,260.9450162424243,0.0845339496844223,24.225543742048156,132500,29203.12962133764
Het IMR psd-gwtc1_ref-gwtc1_baseline,486.6691579376355,0.08944542227129923,39.64610973966999,203000,37103.259670564024
Het IMR psd-gwtc1_ref-gwtc1_flatZ,486.48766968128916,0.095607537378077,40.20827810045877,206000,38212.62894513351
Het IMR psd-gwtc1_ref-gwtc1_vp250,485.9593603533751,0.07704762749088137,39.857449052386094,203000,36591.16619518862
Het TF2 psd-gwtc1_ref-gwtc1_baseline,486.9015742973084,0.10274340657692703,39.88642153996377,204500,37541.67388285441
Het TF2 psd-gwtc1_ref-gwtc1_flatZ,487.1771745035452,0.09285507624762304,39.861324612288506,204500,38515.17285769133
Het TF2 psd-gwtc1_ref-gwtc1_vp250,487.2806783612626,0.08102509446762113,38.97710889739142,200000,37149.44193249896
Unhet IMR psd-gwtc1,491.65394608314523,0.18150167994189922,34.40978907826119,46500,9111.153104070774
Unhet IMR psd-gwtc1_full_sky,485.556956969924,0.13342795609733868,40.670142570038585,53250,9022.040432030295
Unhet IMR psd-gwtc1_small_h0_prior,494.65428584117154,0.15648494166219729,31.735758759561072,43500,8315.218448526592
Unhet TF2 psd-gwtc1,490.50051844647953,0.15430532063251745,36.19231401387466,48750,9423.238878842423
Unhet TF2 psd-gwtc1_full_sky,486.7698529682857,0.19383382405983776,40.09425209405945,53250,9734.957439294907
Unhet TF2 psd-gwtc1_small_h0_prior,496.06271153528667,0.16935057345115892,30.68889988206642,42000,8226.68476614915
evidence_table,nan,nan,nan,16,16.0
summary_stats,nan,nan,nan,104,104.00000000000007
waveform_systematics,nan,nan,nan,15,15.0
